,Name,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Pk,Tm,Year,Pos
397,Ben McLemore,Kansas,37.0,32.2,5.4,10.8,0.495,3.4,6.1,0.5529999999999999,2.0,4.7,0.42,3.2,3.7,0.87,5.2,2.0,1.0,0.7,2.1,1.9,15.9,7.54,2.9,1.0,0.5,0.2,8.8,7,SAC,2013,SG
398,Kentavious Caldwell-Pope,Georgia,64.0,33.0,5.3,12.7,0.415,3.0,5.9,0.504,2.3,6.9,0.339,2.9,3.9,0.752,6.1,1.5,1.9,0.4,1.6,2.2,15.8,7.02,2.0,0.7,0.9,0.2,5.9,8,DET,2013,SG
399,Trey Burke,Michigan,73.0,35.7,6.0,13.3,0.45,4.2,8.3,0.499,1.8,5.0,0.3670000000000001,3.1,4.0,0.777,3.3,5.7,1.3,0.5,2.5,1.7,16.9,9.51,3.0,5.7,0.6,0.1,12.8,9,MIN,2013,PG
400,CJ McCollum,Lehigh,111.0,32.9,6.9,15.7,0.439,5.0,10.5,0.47,2.0,5.2,0.377,5.5,6.7,0.825,6.3,2.7,2.1,0.5,2.4,1.8,21.3,-5.41,1.3,0.7,0.4,0.1,5.3,10,POR,2013,SG
401,Michael Carter-Williams,Syracuse,66.0,25.4,2.7,6.8,0.398,2.1,4.8,0.438,0.6,2.1,0.307,2.2,3.2,0.679,3.6,5.2,2.0,0.4,2.3,1.8,8.2,8.29,6.2,6.3,1.9,0.6,16.7,11,PHI,2013,PG
402,Kelly Olynyk,Gonzaga,101.0,17.2,3.3,5.6,0.594,3.1,4.9,0.634,0.2,0.7,0.333,2.0,2.8,0.7090000000000001,4.6,1.1,0.5,0.5,1.4,2.0,8.9,4.0,5.2,1.6,0.5,0.4,8.7,13,DAL,2013,C
403,Shabazz Muhammad,UCLA,32.0,30.8,6.3,14.3,0.443,5.1,10.9,0.463,1.3,3.3,0.377,4.0,5.6,0.711,5.2,0.8,0.7,0.1,1.6,1.7,17.9,7.82,1.4,0.2,0.2,0.0,3.9,14,UTA,2013,SG
404,Shane Larkin,Miami (FL),68.0,31.3,3.8,8.6,0.438,2.3,4.6,0.491,1.5,4.0,0.375,2.2,2.7,0.8079999999999999,3.2,3.6,1.8,0.1,2.1,1.6,11.2,7.03,0.9,1.5,0.5,0.0,2.8,18,ATL,2013,PG
405,Tony Snell,New Mexico,104.0,24.8,3.0,7.1,0.421,1.4,2.9,0.48,1.6,4.2,0.38,1.6,1.9,0.821,2.4,2.0,0.5,0.3,1.5,1.2,9.2,4.95,1.6,0.9,0.4,0.2,4.5,20,CHI,2013,SG
406,Gorgui Dieng,Louisville,102.0,27.3,3.3,6.1,0.545,3.3,6.0,0.546,0.0,0.0,0.333,1.7,2.7,0.64,7.9,1.2,1.0,2.6,1.6,2.7,8.3,8.78,5.0,0.7,0.5,0.8,4.8,21,UTA,2013,C
407,Mason Plumlee,Duke,141.0,25.9,3.7,6.5,0.574,3.7,6.4,0.578,0.0,0.1,0.2,2.4,4.0,0.583,7.7,1.5,0.8,1.4,2.0,2.5,9.8,8.87,4.4,0.9,0.7,0.8,7.4,22,BRK,2013,C
408,Solomon Hill,Arizona,139.0,29.0,3.5,7.3,0.481,2.7,5.1,0.528,0.8,2.2,0.375,2.5,3.3,0.745,5.6,2.2,0.9,0.4,2.1,2.4,10.3,7.05,1.5,0.4,0.2,0.1,1.7,23,IND,2013,SF
409,Tim Hardaway,UTEP,124.0,28.8,4.6,9.4,0.486,4.8,9.4,0.512,0.7,2.0,0.35200000000000004,3.0,4.2,0.718,2.6,4.5,2.1,0.2,2.0,2.4,12.8,2.63,3.9,8.7,2.1,0.2,14.7,24,NYK,2013,PG
410,Andre Roberson,Colorado,105.0,28.3,3.6,7.1,0.516,3.2,5.7,0.555,0.5,1.4,0.35,1.9,3.2,0.5820000000000001,10.0,1.1,1.6,1.4,1.7,2.6,9.6,6.43,2.4,0.4,0.5,0.3,1.9,26,MIN,2013,SG
411,Archie Goodwin,Kentucky,33.0,31.8,4.8,10.8,0.44,4.2,8.9,0.478,0.5,1.9,0.266,4.1,6.4,0.637,4.6,2.7,1.1,0.5,3.1,2.9,14.1,5.78,1.7,0.4,0.4,0.2,3.7,29,OKC,2013,SG
412,Allen Crabbe,California,98.0,34.7,5.4,12.2,0.446,3.3,6.6,0.5,2.1,5.6,0.382,2.7,3.3,0.8190000000000001,5.7,2.2,0.9,0.6,1.9,1.7,15.7,7.16,0.6,0.4,0.1,0.1,2.2,31,CLE,2013,SG
413,Carrick Felix,Arizona State,94.0,27.9,3.6,8.0,0.456,2.6,4.7,0.545,1.1,3.2,0.326,1.9,2.6,0.7040000000000001,4.8,1.3,1.0,0.8,1.7,2.4,10.2,5.37,0.9,0.6,0.0,0.0,2.7,33,CLE,2013,SG
414,Isaiah Canaan,Murray State,132.0,29.4,4.8,10.7,0.45,2.5,5.2,0.483,2.3,5.5,0.419,3.6,4.5,0.8029999999999999,2.8,2.9,1.2,0.1,2.4,1.8,15.5,-3.56,1.1,1.0,0.4,0.2,4.6,34,HOU,2013,PG
415,Glen Rice,Michigan,134.0,29.8,7.5,13.1,0.569,7.5,12.6,0.591,1.3,2.8,0.48,2.3,2.8,0.797,6.4,2.0,0.8,0.3,1.8,1.9,18.2,9.85,4.6,1.8,0.9,0.4,13.6,35,PHI,2013,SF
416,Nate Wolters,South Dakota State,127.0,33.1,6.1,13.5,0.45,4.8,9.9,0.49,1.2,3.6,0.342,5.1,6.4,0.8029999999999999,4.7,5.3,1.5,0.2,2.2,1.8,18.5,-3.55,2.6,3.2,0.6,0.3,7.2,38,WAS,2013,PG
