,Real,pred1,hue1,chip1,pred2,hue2,chip2,pred3,hue3,chip3,pred4,hue4,chip4,pred5,hue5,chip5,pred6,hue6,chip6,pred7,hue7,chip7,level_0,Name
41,9.7,2.31,"rgb(171, 79, 82)",7.39,4.1,"rgb(171, 79, 82)",5.6,3.67,"rgb(171, 79, 82)",6.03,3.180000066757202,"rgb(171, 79, 82)",6.52,2.9100000858306885,"rgb(171, 79, 82)",6.79,2.7699999809265137,"rgb(171, 79, 82)",6.93,4.21,"rgb(171, 79, 82)",5.49,41,Tyrone Wallace
42,2.4,4.47,"rgb(193, 127, 83)",-2.07,4.56,"rgb(193, 127, 83)",-2.16,3.88,"rgb(193, 127, 83)",-1.48,5.179999828338623,"rgb(171, 79, 82)",-2.78,3.990000009536743,"rgb(193, 127, 83)",-1.59,1.6399999856948853,"rgb(113, 162, 104)",0.76,4.56,"rgb(193, 127, 83)",-2.16,42,Marcus Paige
43,7.1,11.51,"rgb(193, 127, 83)",-4.41,13.24,"rgb(193, 127, 83)",-6.14,14.87,"rgb(171, 79, 82)",-7.77,10.770000457763672,"rgb(193, 127, 83)",-3.67,14.199999809265137,"rgb(193, 127, 83)",-7.1,15.119999885559082,"rgb(171, 79, 82)",-8.02,15.09,"rgb(171, 79, 82)",-7.99,43,Markelle Fultz
44,4.8,7.68,"rgb(193, 127, 83)",-2.88,5.18,"rgb(87, 110, 167)",-0.38,5.04,"rgb(87, 110, 167)",-0.24,7.489999771118164,"rgb(193, 127, 83)",-2.69,7.670000076293945,"rgb(193, 127, 83)",-2.87,5.03000020980835,"rgb(87, 110, 167)",-0.23,5.56,"rgb(87, 110, 167)",-0.76,44,Jawun Evans
45,4.0,4.71,"rgb(87, 110, 167)",-0.71,4.05,"rgb(87, 110, 167)",-0.05,3.85,"rgb(87, 110, 167)",0.15,3.940000057220459,"rgb(87, 110, 167)",0.06,4.389999866485596,"rgb(87, 110, 167)",-0.39,1.7300000190734863,"rgb(171, 79, 82)",2.27,4.43,"rgb(87, 110, 167)",-0.43,45,Sterling Brown
46,10.2,13.29,"rgb(113, 162, 104)",-3.09,11.19,"rgb(87, 110, 167)",-0.99,10.61,"rgb(87, 110, 167)",-0.41,11.420000076293945,"rgb(87, 110, 167)",-1.22,14.59000015258789,"rgb(113, 162, 104)",-4.39,13.550000190734863,"rgb(113, 162, 104)",-3.35,11.34,"rgb(87, 110, 167)",-1.14,46,Lonzo Ball
47,13.9,7.93,"rgb(193, 127, 83)",5.97,8.87,"rgb(193, 127, 83)",5.03,12.31,"rgb(87, 110, 167)",1.59,7.46999979019165,"rgb(193, 127, 83)",6.43,8.300000190734863,"rgb(193, 127, 83)",5.6,6.230000019073486,"rgb(171, 79, 82)",7.67,13.0,"rgb(87, 110, 167)",0.9,47,Jayson Tatum
48,1.1,2.92,"rgb(171, 79, 82)",-1.82,4.0,"rgb(171, 79, 82)",-2.9,3.69,"rgb(171, 79, 82)",-2.59,3.4700000286102295,"rgb(171, 79, 82)",-2.37,3.200000047683716,"rgb(171, 79, 82)",-2.1,5.139999866485596,"rgb(171, 79, 82)",-4.04,4.56,"rgb(171, 79, 82)",-3.46,48,Kadeem Allen
49,3.0,2.08,"rgb(113, 162, 104)",0.92,3.87,"rgb(113, 162, 104)",-0.87,3.76,"rgb(113, 162, 104)",-0.76,2.7300000190734863,"rgb(87, 110, 167)",0.27,2.9100000858306885,"rgb(87, 110, 167)",0.09,2.880000114440918,"rgb(87, 110, 167)",0.12,4.8,"rgb(193, 127, 83)",-1.8,49,Jabari Bird
50,5.4,8.44,"rgb(193, 127, 83)",-3.04,8.63,"rgb(193, 127, 83)",-3.23,7.74,"rgb(113, 162, 104)",-2.34,8.369999885559082,"rgb(193, 127, 83)",-2.97,8.880000114440918,"rgb(193, 127, 83)",-3.48,3.4200000762939453,"rgb(193, 127, 83)",1.98,8.39,"rgb(193, 127, 83)",-2.99,50,Jonathan Isaac
51,3.7,4.44,"rgb(113, 162, 104)",-0.74,4.26,"rgb(87, 110, 167)",-0.56,3.72,"rgb(87, 110, 167)",-0.02,5.659999847412109,"rgb(193, 127, 83)",-1.96,4.900000095367432,"rgb(113, 162, 104)",-1.2,4.840000152587891,"rgb(113, 162, 104)",-1.14,4.52,"rgb(113, 162, 104)",-0.82,51,Wesley Iwundu
52,5.6,4.84,"rgb(87, 110, 167)",0.76,4.49,"rgb(113, 162, 104)",1.11,4.22,"rgb(113, 162, 104)",1.38,6.260000228881836,"rgb(87, 110, 167)",-0.66,4.840000152587891,"rgb(87, 110, 167)",0.76,3.190000057220459,"rgb(193, 127, 83)",2.41,5.3,"rgb(87, 110, 167)",0.3,52,Ivan Rabb
53,15.2,7.79,"rgb(193, 127, 83)",7.41,8.33,"rgb(193, 127, 83)",6.87,7.42,"rgb(171, 79, 82)",7.78,7.230000019073486,"rgb(171, 79, 82)",7.97,6.869999885559082,"rgb(171, 79, 82)",8.33,4.980000019073486,"rgb(171, 79, 82)",10.22,7.5,"rgb(171, 79, 82)",7.7,53,Lauri Markkanen
54,4.4,9.91,"rgb(171, 79, 82)",-5.51,7.93,"rgb(193, 127, 83)",-3.53,8.4,"rgb(193, 127, 83)",-4.0,8.899999618530273,"rgb(171, 79, 82)",-4.5,10.5600004196167,"rgb(171, 79, 82)",-6.16,15.260000228881836,"rgb(171, 79, 82)",-10.86,7.51,"rgb(193, 127, 83)",-3.11,54,Zach Collins
55,7.9,6.31,"rgb(113, 162, 104)",1.59,4.49,"rgb(193, 127, 83)",3.41,3.75,"rgb(171, 79, 82)",4.15,6.400000095367432,"rgb(113, 162, 104)",1.5,5.920000076293945,"rgb(113, 162, 104)",1.98,4.21999979019165,"rgb(193, 127, 83)",3.68,4.58,"rgb(193, 127, 83)",3.32,55,Frank Mason
56,6.7,8.07,"rgb(113, 162, 104)",-1.37,7.0,"rgb(87, 110, 167)",-0.3,7.25,"rgb(87, 110, 167)",-0.55,7.760000228881836,"rgb(87, 110, 167)",-1.06,8.6899995803833,"rgb(113, 162, 104)",-1.99,13.979999542236328,"rgb(171, 79, 82)",-7.28,7.2,"rgb(87, 110, 167)",-0.5,56,Malik Monk
57,7.6,7.57,"rgb(87, 110, 167)",0.03,6.41,"rgb(87, 110, 167)",1.19,6.19,"rgb(113, 162, 104)",1.41,7.010000228881836,"rgb(87, 110, 167)",0.59,7.489999771118164,"rgb(87, 110, 167)",0.11,5.28000020980835,"rgb(113, 162, 104)",2.32,6.81,"rgb(87, 110, 167)",0.79,57,Luke Kennard
58,20.5,7.4,"rgb(171, 79, 82)",13.1,5.94,"rgb(171, 79, 82)",14.56,6.58,"rgb(171, 79, 82)",13.92,6.230000019073486,"rgb(171, 79, 82)",14.27,6.989999771118164,"rgb(171, 79, 82)",13.51,8.0600004196167,"rgb(171, 79, 82)",12.44,6.77,"rgb(171, 79, 82)",13.73,58,Donovan Mitchell
59,3.3,5.0,"rgb(193, 127, 83)",-1.7,4.36,"rgb(113, 162, 104)",-1.06,4.06,"rgb(113, 162, 104)",-0.76,4.690000057220459,"rgb(113, 162, 104)",-1.39,4.0,"rgb(113, 162, 104)",-0.7,5.769999980926514,"rgb(193, 127, 83)",-2.47,4.78,"rgb(113, 162, 104)",-1.48,59,Monte Morris
60,2.0,7.6,"rgb(171, 79, 82)",-5.6,5.84,"rgb(171, 79, 82)",-3.84,6.14,"rgb(171, 79, 82)",-4.14,7.960000038146973,"rgb(171, 79, 82)",-5.96,8.460000038146973,"rgb(171, 79, 82)",-6.46,6.769999980926514,"rgb(171, 79, 82)",-4.77,5.69,"rgb(171, 79, 82)",-3.69,60,Justin Patton
61,4.6,5.19,"rgb(87, 110, 167)",-0.59,4.38,"rgb(87, 110, 167)",0.22,4.11,"rgb(87, 110, 167)",0.49,5.199999809265137,"rgb(87, 110, 167)",-0.6,4.340000152587891,"rgb(87, 110, 167)",0.26,7.679999828338623,"rgb(193, 127, 83)",-3.08,4.77,"rgb(87, 110, 167)",-0.17,61,Jordan Bell
62,10.5,8.3,"rgb(113, 162, 104)",2.2,5.57,"rgb(193, 127, 83)",4.93,5.91,"rgb(193, 127, 83)",4.59,7.150000095367432,"rgb(113, 162, 104)",3.35,7.349999904632568,"rgb(113, 162, 104)",3.15,4.570000171661377,"rgb(171, 79, 82)",5.93,5.44,"rgb(193, 127, 83)",5.06,62,John Collins
63,7.2,4.06,"rgb(193, 127, 83)",3.14,4.17,"rgb(193, 127, 83)",3.03,3.75,"rgb(193, 127, 83)",3.45,4.340000152587891,"rgb(193, 127, 83)",2.86,3.7899999618530273,"rgb(193, 127, 83)",3.41,2.109999895095825,"rgb(171, 79, 82)",5.09,4.37,"rgb(193, 127, 83)",2.83,63,Tyler Dorsey
64,8.2,7.71,"rgb(87, 110, 167)",0.49,5.96,"rgb(113, 162, 104)",2.24,6.04,"rgb(113, 162, 104)",2.16,8.079999923706055,"rgb(87, 110, 167)",0.12,7.550000190734863,"rgb(87, 110, 167)",0.65,6.480000019073486,"rgb(113, 162, 104)",1.72,5.98,"rgb(113, 162, 104)",2.22,64,Jarrett Allen
